ComDown (comment downloader)
 comments
 CTaCRxXIMga
 {\"bifilter_token\": \"KDcBAgDIAP________________________________8AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==\", \"tao_cursor\": \"QVFDMWNaTGRhWnBXREJlcVlVOG5GdUNQRFFISDZKSWxKSzJ3XzFEcUhZS1ZJUnBTRGllMUhxS2VwTVRGVjkxUWRRbVhyMEFYZGc5UU1ua0ZOemxDOEJ0Tw==\"}
 https://instagram.fevn1-1.fna.fbcdn.net/v/t51.2885-15/e35/241182299_551932516141118_5133750298734709642_n.jpg?_nc_ht=instagram.fevn1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=F9aSA65HMVQAX-1G2BX&edm=AABBvjUBAAAA&ccb=7-4&oh=1677ff19ce09dfe93d40e151ebd1a446&oe=6138890C&_nc_sid=83d603
 Username,Comment Text,Number of likes,Number of replys ,Date created
 mrbh217,@aj1227956,1,0,1630828191
 mrbh217,@t.s.n1352,1,0,1630828208
 mrbh217,@baran_tara_daily,1,0,1630828225
 mrbh217,@sjnodoshan8054,1,0,1630828302
 mrbh217,@ss.commahtak60,1,0,1630828336
 mrbh217,@,1,0,1630828341
 mrbh217,@atena_xp,1,0,1630828373
 mrbh217,@m.fitworkout,1,0,1630828391
 mrbh217,@1924_pory,2,0,1630828408
 mrbh217,@a.b_m.j.n,1,0,1630828426
 maryam_a.v71,@somayh_2023,1,0,1630828439
 mrbh217,@krishna_stetus_group,1,0,1630828462
 mahdisbootiik,@mohamad.sna_51,1,0,1630828614
 fateme_sadat1881,@poshak_baby_1900,1,1,1630828712
 fateme_sadat1881,@erfan8_org,0,1,1630828763
 fateme_sadat1881,@gin_g_shop,1,0,1630828766
 fateme_sadat1881,@clup_salamati_,1,0,1630828838
 fateme_sadat1881,@aliichangizi,1,0,1630828843
 fateme_sadat1881,@m_a_h_d_i_1_3_8_2_w_o_l_f,1,0,1630828936
 fateme_sadat1881,@mhmdrdahydry288,0,1,1630828953
 kimia_ss_83,@kimia_8303,1,0,1630829703
 kimia_ss_83,@nazziii_em,1,0,1630829722
 kimia_ss_83,@elahe.0334,1,0,1630829728
 nafas._.7789,@maryam1153177,0,0,1630829790
 nafas._.7789,@mar.yam5822,1,0,1630829925
 nafas._.7789,@maryamfarhadi625,1,0,1630829962
 nafas._.7789,@maryam88_745,1,0,1630829997
 kimia_ss_83,@so_gand212,1,0,1630830019
 nafas._.7789,@zahra._.5677,1,1,1630830084
 nafas._.7789,@_zahra624_,0,1,1630830097
 nafas._.7789,@zahra138.18,1,0,1630830132
 nafas._.7789,@melis_a406,1,0,1630830152
 nafas._.7789,@zohreh.nik73,1,0,1630830302
 mahdisbootiik,@bharh.91,1,0,1630831847
 elemance2,@sepidehv5,1,0,1630832029
 elemance2,@adel.elemance,1,0,1630832032
 mar_yam_shah,@f.mohaymen,1,0,1630832385
 mahdisbootiik,@tanz_klips,1,0,1630832699
 bharh.91,@zahra1365______,1,0,1630835042
 bharh.91,@heidar203,1,0,1630835077
 princess__zemestan__,@sahar_.0099,1,0,1630835288
 barkaw_collection,@hana._2291 @binazir_hussaini لطفا از تگ کردن افراد ناشناس و کسانی که مایل نیستند خوداری کنید ممنون,1,1,1630835729
 __tahereh__a__,@__zhraw_t_,1,0,1630835751
 alireza_mirahmadi97,@____vaez___,1,0,1630836528
 alireza_mirahmadi97,@imantatality86,1,0,1630836546
 alireza_mirahmadi97,@hassan_fatemi_,1,0,1630836598
 naz.aninzahra99,@ftm1380055,1,0,1630837857
 naz.aninzahra99,@hg.6745,1,0,1630838066
 naz.aninzahra99,@javad1380v,1,0,1630838148
 esmaeil_varzaneh0913,@oocha71,0,1,1630838196
 esmaeil_varzaneh0913,@realahmad00,1,0,1630838267
 esmaeil_varzaneh0913,@sy_sy_56,0,4,1630838280
 esmaeil_varzaneh0913,@ma.nsoor773,1,0,1630838417
 naz.aninzahra99,@zahra4658.x,1,0,1630838516
 naz.aninzahra99,@asal_cakee_,1,0,1630838539
 naz.aninzahra99,@a.shafiei.66,1,0,1630838795
 x_fwtm.zwhr_x,@mohadeseh.h.1999,1,0,1630841915
 x_fwtm.zwhr_x,@tahereh._.81,1,0,1630842039
 parnian_7_4,@fatemeh.arad.2636,1,0,1630844633
 parnian_7_4,@amoozegar_maryam,1,0,1630844639
 mahdisbootiik,@banoo_s.64,1,0,1630845816
 atiyeh.mohammadi4,@zahra.g.m1370  @safa._.m._.76  @mozhgan70slt  @sahar._.18._.m  @hasti.h.0010 @asir.sarnevesht49  @a.m__.99  @maedeh.__.a  @marziyem611  @miss_esmaeili_90,3,0,1630846752
 atiyeh.mohammadi4,@afsaneh_arab69  @aramesh_.94  @fatemehpartoo80  @fatemeh.mn73  @f.shahriary.72  @faezeh_nazari72954149  @reyhane_.a.m  @reyhane.mohammadi1823  @talaei1371  @tayebeh.63,2,1,1630846839
 atiyeh.mohammadi4,@miss.karbalaee18  @na_fas13737  @hadis._.722  @hamideh3245  @aram.46.m  @masome_asf  @_mahshid_slt_  @nasrin.aghaie7  @negin_mobin  @azd1005,1,0,1630846886
 nafas._.7789,@mahboobe_673,1,0,1630848679
 nafas._.7789,@rahimeh___81,1,0,1630848860
